Time,Latency_Delta_ms,Direction,Src_IP,Dest_IP,Payload_MB
15:57:19,0.0,IN_RECV,127.0.0.1,127.0.0.1,0.25
15:57:19,119.48,OUT_SEND,127.0.0.1,127.0.0.1,42.7
15:57:19,1.96,OUT_SEND,127.0.0.1,127.0.0.1,40.14
15:57:19,1.14,OUT_SEND,127.0.0.1,127.0.0.1,39.27
15:57:19,1.13,OUT_SEND,127.0.0.1,127.0.0.1,38.37
15:57:19,1.16,OUT_SEND,127.0.0.1,127.0.0.1,37.47
15:57:19,1.41,OUT_SEND,127.0.0.1,127.0.0.1,36.58
15:57:19,1.19,OUT_SEND,127.0.0.1,127.0.0.1,35.68
15:57:19,1.17,OUT_SEND,127.0.0.1,127.0.0.1,34.78
15:57:19,1.21,OUT_SEND,127.0.0.1,127.0.0.1,33.88
15:57:19,1.26,OUT_SEND,127.0.0.1,127.0.0.1,32.98
15:57:19,1.35,OUT_SEND,127.0.0.1,127.0.0.1,32.08
15:57:19,1.33,OUT_SEND,127.0.0.1,127.0.0.1,31.18
15:57:19,1.25,OUT_SEND,127.0.0.1,127.0.0.1,30.29
15:57:19,1.24,OUT_SEND,127.0.0.1,127.0.0.1,29.39
15:57:19,1.24,OUT_SEND,127.0.0.1,127.0.0.1,28.49
15:57:19,2.12,OUT_SEND,127.0.0.1,127.0.0.1,27.59
15:57:19,1.66,OUT_SEND,127.0.0.1,127.0.0.1,26.69
15:57:19,1.52,OUT_SEND,127.0.0.1,127.0.0.1,25.79
15:57:19,1.42,OUT_SEND,127.0.0.1,127.0.0.1,24.9
15:57:19,1.68,OUT_SEND,127.0.0.1,127.0.0.1,24.0
15:57:19,1.42,OUT_SEND,127.0.0.1,127.0.0.1,23.1
15:57:19,2.46,OUT_SEND,127.0.0.1,127.0.0.1,22.11
15:57:19,1.64,OUT_SEND,127.0.0.1,127.0.0.1,21.21
15:57:19,1.93,OUT_SEND,127.0.0.1,127.0.0.1,20.31
15:57:19,2.02,OUT_SEND,127.0.0.1,127.0.0.1,19.41
15:57:19,1.57,OUT_SEND,127.0.0.1,127.0.0.1,18.52
15:57:19,2.0,OUT_SEND,127.0.0.1,127.0.0.1,17.62
15:57:19,1.61,OUT_SEND,127.0.0.1,127.0.0.1,16.72
15:57:19,1.96,OUT_SEND,127.0.0.1,127.0.0.1,15.82
15:57:19,1.55,OUT_SEND,127.0.0.1,127.0.0.1,14.92
15:57:19,1.73,OUT_SEND,127.0.0.1,127.0.0.1,14.02
15:57:19,1.6,OUT_SEND,127.0.0.1,127.0.0.1,13.13
15:57:19,2.42,OUT_SEND,127.0.0.1,127.0.0.1,12.23
15:57:19,1.59,OUT_SEND,127.0.0.1,127.0.0.1,11.33
15:57:19,1.78,OUT_SEND,127.0.0.1,127.0.0.1,10.43
15:57:19,1.53,OUT_SEND,127.0.0.1,127.0.0.1,9.53
15:57:19,1.86,OUT_SEND,127.0.0.1,127.0.0.1,8.63
15:57:19,1.57,OUT_SEND,127.0.0.1,127.0.0.1,7.74
15:57:19,1.59,OUT_SEND,127.0.0.1,127.0.0.1,6.84
15:57:19,1.63,OUT_SEND,127.0.0.1,127.0.0.1,5.94
15:57:19,1.69,OUT_SEND,127.0.0.1,127.0.0.1,5.04
15:57:19,1.71,OUT_SEND,127.0.0.1,127.0.0.1,4.14
15:57:19,1.71,OUT_SEND,127.0.0.1,127.0.0.1,3.24
15:57:19,1.44,OUT_SEND,127.0.0.1,127.0.0.1,2.34
15:57:19,1.68,OUT_SEND,127.0.0.1,127.0.0.1,1.45
15:57:19,1.35,OUT_SEND,127.0.0.1,127.0.0.1,0.55
15:57:54,35506.24,IN_RECV,192.168.52.99,192.168.52.110,0.25
15:57:55,145.09,OUT_SEND,192.168.52.110,192.168.52.99,42.7
15:57:55,52.52,OUT_SEND,192.168.52.110,192.168.52.99,42.6
15:57:55,6.66,OUT_SEND,192.168.52.110,192.168.52.99,42.51
15:57:55,7.38,OUT_SEND,192.168.52.110,192.168.52.99,42.32
15:57:55,8.58,OUT_SEND,192.168.52.110,192.168.52.99,42.03
15:57:55,12.55,OUT_SEND,192.168.52.110,192.168.52.99,41.46
15:57:55,60.54,OUT_SEND,192.168.52.110,192.168.52.99,40.78
15:57:55,37.2,OUT_SEND,192.168.52.110,192.168.52.99,39.6
15:57:55,139.79,OUT_SEND,192.168.52.110,192.168.52.99,37.92
15:57:55,148.93,OUT_SEND,192.168.52.110,192.168.52.99,36.55
